2 10 1011011011
2 16 1011011011
10 2 1234567890
10 16 1234567890
16 10 ABC123DEF1
16 2 ABC123DEF1
2 1011011011 + 1001110100
2 1011011011 - 1001110100
2 1011011011 * 1001110100
2 1011011011 / 1001110100
10 1234567890 + 9876543210
10 9876543210 - 1234567890
10 9876543210 * 1234567890
10 9876543210 / 1234567890
16 DEF123456A + ABC123DEF1
16 DEF123456A - ABC123DEF1
16 DEF123456A * ABC123DEF1
16 DEF123456A / ABC123DEF1
2 1011011011 & 1001110100
2 1011011011 | 1001110100
2 1011011011 ^ 1001110100
2 ~ 1011011011
10 1234567890 & 9876543210
10 9876543210 | 1234567890
10 9876543210 ^ 1234567890
10 ~ 9876543210 
16 DEF123456A & ABC123DEF1
16 DEF123456A | ABC123DEF1
16 DEF123456A ^ ABC123DEF1
16 ~ DEF123456A
2 1011011011 < 1001110100
2 1011011011 > 1001110100
2 1011011011 == 1001110100
2 1011011011 <= 1001110100
2 1011011011 >= 1001110100
10 1234567890 < 9876543210
10 9876543210 > 1234567890
10 9876543210 == 1234567890
10 9876543210 <= 1234567890
10 9876543210 >= 1234567890
16 DEF123456A < ABC123DEF1
16 DEF123456A > ABC123DEF1
16 DEF123456A == ABC123DEF1
16 DEF123456A <= ABC123DEF1
16 DEF123456A >= ABC123DEF1
2 1011011011 >> 2
2 1011011011 << 2
2 1011011011 rol 2
2 1011011011 ror 2
10 1234567890 >> 2
10 9876543210 << 2
10 9876543210 rol 2
10 9876543210 ror 2
16 DEF123456A >> 2
16 DEF123456A << 2
16 DEF123456A rol 2
16 DEF123456A ror 2





















































